norm,norm_desc,variant_id,4bit_orig,8bit_vector,DB_mean,DB_nice,DG_mean,DG_nice,CB_mean,CB_nice,CG_mean,CG_nice,Emotion_Leniency,expanded_original_B
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,0011,00001111,0,0,0,0,1,1,1,1,1.0,False
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v2,0011,00001101,0,0,0,0,1,1,0,1,0.5,False
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v3,0011,00000111,0,0,0,0,0,1,1,1,0.5,False
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v4,0011,00000101,0,0,0,0,0,1,0,1,0.0,False
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v5,0011,00101111,0,0,1,0,1,1,1,1,1.0,True
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v6,0011,00101101,0,0,1,0,1,1,0,1,0.5,True
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v7,0011,00100111,0,0,1,0,0,1,1,1,0.5,True
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v8,0011,00100101,0,0,1,0,0,1,0,1,0.0,True
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v9,0011,10001111,1,0,0,0,1,1,1,1,1.0,True
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v10,0011,10001101,1,0,0,0,1,1,0,1,0.5,True
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v11,0011,10000111,1,0,0,0,0,1,1,1,0.5,True
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v12,0011,10000101,1,0,0,0,0,1,0,1,0.0,True
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v13,0011,10101111,1,0,1,0,1,1,1,1,1.0,True
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v14,0011,10101101,1,0,1,0,1,1,0,1,0.5,True
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v15,0011,10100111,1,0,1,0,0,1,1,1,0.5,True
ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v16,0011,10100101,1,0,1,0,0,1,0,1,0.0,True
Shunning,Only cooperating with good people is good.,Shunning_v1,0001,00000011,0,0,0,0,0,0,1,1,1.0,False
Shunning,Only cooperating with good people is good.,Shunning_v2,0001,00000001,0,0,0,0,0,0,0,1,0.0,False
Shunning,Only cooperating with good people is good.,Shunning_v3,0001,00001011,0,0,0,0,1,0,1,1,1.0,True
Shunning,Only cooperating with good people is good.,Shunning_v4,0001,00001001,0,0,0,0,1,0,0,1,0.0,True
